Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
2-aminoadipate	HMDB0000510	Aminoadipic acid		AADAT;AASDH;AASDHPPT;ALDH7A1
3-phosphoglycerate	HMDB0000807	3-Phosphoglyceric acid		ACYP1;ACYP2;BPGM;GLYCTK;PGAM1;PGAM2;PGAM4;PGK1;PGK2;PGM2L1;PHGDH
alpha-glycerophosphate	HMDB0000126	Glycerol 3-phosphate		ADPRM;AGPAT6;AGPAT9;DKFZp451B1115;ESCO1;GDE1;GK;GK2;GK3P;GK5;GPAM;GPAT2;GPCPD1;GPD1;GPD1L;GPD2;PGS1
4-pyridoxate	HMDB0000017	4-Pyridoxic acid		AOX1
aconitate	HMDB0247961	Aconitic acid		
adenine	HMDB0000034	Adenine		APRT;HPRT1;MTAP;PECR;PNP;SLC29A2;SLC29A3;XDH
adipate	HMDB0000448	Adipic acid		
alpha-ketoglutarate	HMDB0062781	2-oxoglutarate(2-)		
AMP	HMDB0000045	Adenosine monophosphate		AACS;AARS;AARS2;AASDH;AASDHPPT;ACSBG1;ACSBG2;ACSL1;ACSL3;ACSL4;ACSL5;ACSL6;ACSM1;ACSM2A;ACSM2B;ACSM3;ACSM4;ACSM5;ACSM6;ACSS1;ACSS2;ACSS3;ADCY1;ADK;ADPGK;ADPRM;ADSL;AK1;AK2;AK3;AK4;AK5;AK7;AK8;ALDH7A1;AMFR;AMPD1;AMPD2;AMPD3;APRT;ASNS;ASS1;BIRC6;BPNT1;C22orf28;CANT1;CARNS1;CARS;CARS2;CBL;CBLC;CCNB1IP1;CDC34;CHFR;CNOT4;CREB1;DAK;DARS;DARS2;DCK;DZIP3;EARS2;ENPP1;ENPP3;ENTPD1;ENTPD3;ENTPD8;EPRS;FANCL;FARS2;FARSA;FARSB;FARSLA;FHIT;GARS;GMPS;GPHN;GTAP;HARS;HARS2;HERC1;HERC2;HINT1;HLCS;HPRT1;HUWE1;IARS;IARS2;IMPAD1;KARS;LARS;LARS2;LIG1;LIG3;LIG4;LIPT1;LNX1;LRSAM1;MARCH1;MARCH10;MARCH2;MARCH3;MARCH4;MARCH5;MARCH6;MARCH7;MARCH8;MARCH9;MARS;MARS2;MDM2;MGRN1;MIB1;MID1;MOCS3;MYCBP2;MYLIP;NADSYN1;NARS;NARS2;NEDD4;NEDD4L;NRF1;NT5C;NT5C1A;NT5C1B;NT5C2;NT5C3;NT5E;NT5M;NUDT10;NUDT11;NUDT12;NUDT2;NUDT5;NUDT9;PARS2;PDE10A;PDE11A;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE4A;PDE4B;PDE4C;PDE4D;PDE5A;PDE6D;PDE6G;PDE6H;PDE7A;PDE7B;PDE8A;PDE8B;PDE9A;PJA1;PON3;PPCS;PRPF19;PRPS1;PRPS1L1;PRPS2;PYGB;PYGL;PYGM;QARS;RAD18;RARS;RARS2;RFWD2;RNF128;RNF138;RNF144B;RNF2;RNF20;RNF5;RNF8;RTCA;SAE1;SARS;SARS2;SEPHS1;SEPHS2;SIAH1;SIAH2;SLC27A2;SLC27A5;SMURF1;SMURF2;STUB1;SYVN1;TAF9;TARS;TARS2;TARSL2;THG1L;TOPORS;TPK1;TRIM11;TRIM25;TRIM32;TRIM33;TRIM5;TRIM63;TRIP12;TRPM2;UBA1;UBA2;UBA6;UBA7;UBE2A;UBE2B;UBE2C;UBE2D1;UBE2D2;UBE2D3;UBE2D4;UBE2E1;UBE2E2;UBE2E3;UBE2F;UBE2G1;UBE2G2;UBE2H;UBE2I;UBE2J1;UBE2J2;UBE2K;UBE2L3;UBE2L6;UBE2M;UBE2N;UBE2NL;UBE2O;UBE2Q1;UBE2Q2;UBE2QL1;UBE2R2;UBE2S;UBE2T;UBE2U;UBE2W;UBE2Z;UBE3A;UBE3B;UBE3C;UBE4A;UBE4B;UBR1;UBR2;UBR4;UBR5;VARS;VARS2;WARS;WARS2;WWP2;YARS;YARS2;ZNRF1;ZNRF2;hNp95
citrate	HMDB0000094	Citric acid		ACLY;ACO1;ACO2;AKR1B1;ANG;APRT;BHMT;CLYBL;CNDP1;CPB1;CS;CTDSP1;GNMT;HS3ST3A1;IL4I1;ITPA;MDH2;MIF;PDE5A;RIMKLB;RNASE1;RNASE3;SLCO2B1;SRC;UCK2
isocitrate	HMDB0000193	Isocitric acid		ACO1;ACO2;IDH1;IDH2;IDH3A;IDH3B;IDH3G
